BveTs Vehicle Performance Table 1.00,
#,C-Empty
0,1.00
1,37.80
2,75.60
3,113.39
4,151.19
5,188.99
6,188.99
7,188.99
8,188.99
9,188.99
10,188.99
11,188.99
12,188.99
13,188.99
14,188.99
15,188.99
16,188.99
17,188.99
18,188.99
19,188.99
20,188.99
21,188.99
22,188.99
23,188.99
24,188.99
25,188.99
26,188.99
27,188.99
28,188.99
29,188.99
30,188.99
31,188.99
32,188.99
33,188.99
34,188.99
35,188.99
36,188.99
37,188.99
38,188.99
39,188.99
40,188.99
41,188.99
42,188.99
43,188.99
44,188.99
45,188.99
46,188.99
47,188.99
48,188.99
49,188.99
50,188.99
51,188.99
52,188.99
53,188.99
54,188.99
55,188.99
56,188.99
57,190.04
58,191.97
59,193.90
60,195.82
61,196.43
62,197.09
63,197.78
64,198.52
65,199.29
66,200.09
67,200.93
68,201.80
69,202.70
70,203.64
71,204.59
72,205.58
73,206.59
74,207.63
75,208.69
76,209.10
77,206.39
78,203.74
79,201.16
80,198.65
81,196.20
82,193.80
83,191.47
84,189.19
85,186.96
86,184.79
87,182.66
88,180.59
89,178.56
90,176.58
91,174.64
92,172.74
93,170.88
94,169.06
95,167.28
96,165.54
97,163.83
98,162.16
99,160.52
100,158.92
101,157.35
102,155.80
103,154.29
104,152.81
105,151.35
106,149.92
107,148.52
108,147.15
109,145.80
110,144.47
111,143.17
112,141.89
113,140.64
114,139.40
115,138.19
116,137.00
117,135.83
118,134.68
119,133.54
120,132.43
121,131.34
122,130.26
123,129.20
124,128.16
125,127.13
126,126.13
127,125.13
128,124.16
129,123.19
130,122.24
131,121.31
132,120.39
133,119.49
134,118.60
135,117.72
136,116.85
137,116.00
138,115.16
139,114.33
140,113.51
141,112.71
142,111.91
143,111.13
144,110.36
145,109.60
146,108.85
147,108.11
148,107.38
149,106.66
150,105.95
