BveTs Vehicle Performance Table 1.00,
#,
0,1.00
1,16.04
2,32.08
3,48.12
4,64.16
5,80.20
6,80.20
7,80.20
8,80.20
9,80.20
10,80.20
11,80.20
12,80.20
13,80.20
14,80.20
15,80.20
16,80.20
17,80.20
18,80.20
19,80.20
20,80.20
21,80.20
22,80.20
23,80.20
24,80.20
25,80.20
26,80.20
27,80.20
28,80.20
29,80.20
30,80.20
31,80.20
32,80.20
33,80.20
34,80.20
35,80.20
36,80.20
37,80.20
38,80.20
39,80.20
40,80.20
41,80.20
42,80.20
43,80.20
44,80.20
45,80.20
46,80.20
47,80.20
48,80.20
49,80.20
50,80.20
51,80.20
52,80.20
53,80.20
54,80.20
55,80.20
56,80.20
57,80.20
58,80.20
59,80.20
60,80.20
61,78.89
62,77.61
63,76.38
64,75.19
65,74.03
66,72.91
67,71.82
68,70.76
69,69.74
70,68.74
71,67.77
72,66.83
73,65.92
74,65.03
75,64.16
76,63.32
77,62.49
78,61.69
79,60.91
80,60.15
81,59.41
82,58.68
83,57.98
84,57.29
85,56.61
86,55.95
87,55.31
88,54.68
89,54.07
90,53.47
91,52.88
92,52.30
93,51.74
94,51.19
95,50.65
96,50.13
97,49.61
98,49.10
99,48.61
100,48.12
101,47.64
102,47.18
103,46.72
104,46.27
105,45.83
106,45.40
107,44.97
108,44.56
109,44.15
110,43.75
111,43.35
112,42.96
113,42.58
114,42.21
115,41.84
116,41.48
117,41.13
118,40.78
119,40.44
120,40.10
121,39.77
122,39.44
123,39.12
124,38.81
125,38.50
126,38.19
127,37.89
128,37.59
129,37.30
130,37.02
131,36.73
132,36.45
133,36.18
134,35.91
135,35.64
136,35.38
137,35.12
138,34.87
139,34.62
140,34.37
141,34.13
142,33.89
143,33.65
144,33.42
145,33.19
146,32.96
147,32.73
148,32.51
149,32.30
150,32.08
