BveTs Vehicle Performance Table 2.01,,,,,
#,c,,,,
#,1,2,3,4,5
#,p1c,p2c,p3c,p4c,p5c
0,29.7,78.7,87.2,93.6,100
1,29.7,78.7,87.2,93.6,100
2,29.7,78.7,87.2,93.6,100
3,29.7,78.7,87.2,93.6,100
4,29.7,78.7,87.2,93.6,100
5,29.7,78.7,87.2,93.6,100
6,29.7,78.7,87.2,93.6,100
7,29.7,78.7,87.2,93.6,100
8,29.7,78.7,87.2,93.6,100
9,26.4,78.7,87.2,93.6,100
10,23.8,78.7,87.2,93.6,100
11,21.6,78.7,87.2,93.6,100
12,19.8,78.7,87.2,93.6,100
13,18.3,78.7,87.2,93.6,100
14,17,78.7,87.2,93.6,100
15,15.9,78.7,87.2,93.6,100
16,14.9,78.7,87.2,93.6,100
17,14,78.7,87.2,93.6,100
18,13.2,78.7,87.2,93.6,100
19,12.5,78.7,87.2,93.6,100
20,11.9,78.7,87.2,93.6,100
21,11.3,78.7,87.2,93.6,100
22,10.8,78.7,87.2,93.6,100
23,10.3,78.7,87.2,93.6,100
24,9.9,78.7,87.2,93.6,100
25,9.5,78.7,87.2,93.6,100
26,9.2,78.7,87.2,93.6,100
27,8.8,78.7,87.2,93.6,100
28,8.5,78.7,87.2,93.6,100
29,8.2,78.7,87.2,93.6,100
30,7.9,78.7,87.2,93.6,100
31,7.7,78.7,87.2,93.6,100
32,7.4,78.7,87.2,93.6,100
33,7.2,76.4,87.2,93.6,100
34,7,74.2,87.2,93.6,100
35,6.8,72.1,87.2,93.6,100
36,6.6,70.1,87.2,93.6,100
37,6.4,68.2,87.2,93.6,100
38,6.3,66.4,87.2,93.6,100
39,6.1,64.7,87.2,93.6,100
40,6,63.1,87.2,93.6,100
41,5.8,61.5,87.2,93.6,100
42,5.7,60.1,87.2,93.6,100
43,5.5,58.7,87.2,93.6,100
44,5.4,57.3,87.2,93.6,100
45,5.3,56.1,87.2,93.6,100
46,5.2,54.8,87.2,93.6,100
47,5.1,53.7,87.2,93.6,100
48,5,52.5,87.2,93.6,100
49,4.9,51.5,87.2,93.6,100
50,4.8,50.4,87.2,93.6,100
51,4.7,49.5,87.2,93.6,100
52,4.6,48.5,87.2,93.6,100
53,4.5,47.6,85.7,92,98.3
54,4.4,46.7,84.1,90.3,96.5
55,4.3,45.9,82.6,88.7,94.7
56,4.3,45,81.1,87.1,93
57,4.2,44.3,79.7,85.6,91.4
58,4.1,43.5,78.3,84.1,89.8
59,4,42.8,77,82.7,88.3
60,4,42,75.7,81.3,86.8
61,3.9,41.3,74.5,79.9,85.4
62,3.8,40.7,73.3,78.7,84
63,3.8,40,72.1,77.4,82.7
64,3.7,39.4,71,76.2,81.4
65,3.7,38.8,69.9,75,80.2
66,3.6,38.2,68.8,73.9,78.9
67,3.6,37.6,67.8,72.8,77.8
68,3.5,37.1,66.8,71.7,76.6
69,3.4,36.6,65.9,70.7,75.5
70,3.4,36,64.9,69.7,74.4
71,3.4,35.5,64,68.7,73.4
72,3.3,35,63.1,67.7,72.4
73,3.3,34.6,62.2,66.8,71.4
74,3.2,34.1,61.4,65.9,70.4
75,3.2,33.6,60.6,65,69.5
76,3.1,33.2,59.8,64.2,68.6
77,3.1,32.8,59,63.3,67.7
78,3.1,32.3,58.3,62.5,66.8
79,3,31.9,57.5,61.7,65.9
80,3,31.5,56.8,61,65.1
81,2.9,31.1,56.1,60.2,64.3
82,2.9,30.8,55.4,59.5,63.5
83,2.9,30.4,54.7,58.8,62.8
84,2.8,30,54.1,58.1,62
85,2.8,29.7,53.5,57.4,61.3
86,2.8,29.3,52.8,56.7,60.6
87,2.7,29,52.2,56.1,59.9
88,2.7,28.7,51.6,55.4,59.2
89,2.7,28.3,51.1,54.8,58.5
90,2.6,28,50.5,54.2,57.9
91,2.6,27.7,49.9,53.6,57.3
92,2.6,27.4,49.4,53,56.6
93,2.6,27.1,48.9,52.4,56
94,2.5,26.8,48.3,51.9,55.4
95,2.5,26.6,47.8,51.3,54.8
96,2.5,26.3,47.3,50.8,54.3
97,2.5,26,46.8,50.3,53.7
98,2.4,25.7,46.4,49.8,53.2
99,2.4,25.5,45.9,49.3,52.6
100,2.4,25.2,45.4,48.8,52.1
101,2.4,25,45,48.3,51.6
102,2.3,24.7,44.5,47.8,51.1
103,2.3,24.5,44.1,47.3,50.6
104,2.3,24.3,43.7,46.9,50.1
105,2.3,24,43.3,46.4,49.6
106,2.2,23.8,42.9,46,49.2
107,2.2,23.6,42.5,45.6,48.7
108,2.2,23.4,42.1,45.2,48.2
109,2.2,23.1,41.7,44.7,47.8
110,2.2,22.9,41.3,44.3,47.4
111,2.1,22.7,40.9,43.9,46.9
112,2.1,22.5,40.6,43.5,46.5
113,2.1,22.3,40.2,43.2,46.1
114,2.1,22.1,39.9,42.8,45.7
115,2.1,21.9,39.5,42.4,45.3
116,2.1,21.7,39.2,42,44.9
117,2,21.6,38.8,41.7,44.5
118,2,21.4,38.5,41.3,44.2
119,2,21.2,38.2,41,43.8
120,2,21,37.9,40.6,43.4
121,2,20.8,37.6,40.3,43.1
122,2,20.7,37.2,40,42.7
123,1.9,20.5,36.9,39.6,42.4
124,1.9,20.3,36.6,39.3,42
125,1.9,20.2,36.4,39,41.7
126,1.9,20,36.1,38.7,41.3
127,1.9,19.9,35.8,38.4,41
128,1.9,19.7,35.5,38.1,40.7
129,1.8,19.6,35.2,37.8,40.4
130,1.8,19.4,35,37.5,40.1
131,1.8,19.3,34.7,37.2,39.8
132,1.8,19.1,34.4,36.9,39.5
133,1.8,19,34.2,36.7,39.2
134,1.8,18.8,33.9,36.4,38.9
135,1.8,18.7,33.7,36.1,38.6
136,1.8,18.5,33.4,35.9,38.3
137,1.7,18.4,33.2,35.6,38
138,1.7,18.3,32.9,35.3,37.8
139,1.7,18.1,32.7,35.1,37.5
140,1.7,18,32.5,34.8,37.2
141,1.7,17.9,32.2,34.6,37
142,1.7,17.8,32,34.3,36.7
143,1.7,17.6,31.8,34.1,36.4
144,1.7,17.5,31.6,33.9,36.2
145,1.6,17.4,31.3,33.6,35.9
146,1.6,17.3,31.1,33.4,35.7
147,1.6,17.2,30.9,33.2,35.4
148,1.6,17,30.7,33,35.2
149,1.6,16.9,30.5,32.7,35
150,1.6,16.8,30.3,32.5,34.7
