BveTs Vehicle Performance Table 2.01,,,,,
#,f,,,,
#,1,2,3,4,5
#,p1f,p2f,p3f,p4f,p5f
0,20785,55412,61524,66060,70596
1,20785,55412,61524,66060,70596
2,20785,55412,61524,66060,70596
3,20785,55412,61524,66060,70596
4,20785,55412,61524,66060,70596
5,20785,55412,61524,66060,70596
6,17320.8,55412,61524,66060,70596
7,14226.1,55412,61524,66060,70596
8,10188.4,55412,61524,66060,70596
9,7589.7,55412,61524,66060,70596
10,5832.2,55412,61524,66060,70596
11,4595.7,55412,61524,66060,70596
12,3697.2,55412,61524,66060,70596
13,3026.7,55412,61524,66060,70596
14,2514.8,55412,61524,66060,70596
15,2116.4,55412,61524,66060,70596
16,1801.1,55412,61524,66060,70596
17,1547.8,55412,61524,66060,70596
18,1341.7,55412,61524,66060,70596
19,1172.1,55412,61524,66060,70596
20,1031,55412,61524,66060,70596
21,912.6,53323.3,61524,66060,70596
22,812.4,51405.2,61524,66060,70596
23,727,49636.9,61524,66060,70596
24,653.6,48000.8,61524,66060,70596
25,590.2,46482.3,61524,66060,70596
26,535.1,45068.5,61524,66060,70596
27,486.9,43748.8,61524,66060,70596
28,444.6,42513.6,61524,66060,70596
29,407.2,41354.9,61524,66060,70596
30,374.1,40265.4,61524,66060,70596
31,344.7,39239,61524,66060,70596
32,318.4,37966.8,61524,66060,70596
33,294.8,35934.8,60591.8,65482.6,70434.5
34,273.6,34067.5,58809.7,64368.2,70119.8
35,254.5,32347.3,57129.4,63304.2,69815.6
36,237.2,30758.7,55542.5,62287,69521.2
37,221.5,29288.6,54041.4,61313.4,69236.1
38,207.2,27925.2,52619.2,60380.4,68959.7
39,194.2,26658.2,51270,59485.3,68691.5
40,182.3,25478.7,49988.3,58625.6,68431.1
41,171.3,24378.6,48769,57799.1,68178.1
42,161.3,23350.8,47607.9,57003.7,67932.1
43,152.1,22389,46500.7,56237.6,67692.8
44,143.6,21487.6,45443.9,55499.1,67459.7
45,135.8,20641.5,44434,54786.6,67232.7
46,128.5,19846.3,43468,54098.6,67011.4
47,121.8,19097.8,42543.2,53433.7,66795.6
48,115.5,18392.5,41656.9,52790.7,66585
49,109.7,17726.9,40806.7,52168.5,66379.4
50,104.3,17098.2,39990.6,51566,66178.5
51,99.3,16503.6,39206.5,50982.2,65982.2
52,94.6,15940.6,38147.9,50016.3,65268.7
53,90.2,15406.9,36721.9,48538.1,63854.6
54,86.1,14900.7,35374.4,47130,62496.6
55,82.2,14419.9,34099.8,45787.4,61191.6
56,78.6,13962.8,32892.8,44506.3,59936.7
57,75.2,13528,31748.8,43282.7,58729.1
58,72,13113.9,30663.4,42113.2,57566.1
59,69,12719.2,29632.8,40994.5,56445.5
60,66.1,12342.8,28653.3,39923.5,55365
61,63.5,11983.5,27721.5,38897.6,54322.5
