BveTs Vehicle Performance Table 1.00,
#,C-Max
0,1.00
1,64.16
2,128.32
3,192.48
4,256.64
5,320.80
6,320.80
7,320.80
8,320.80
9,320.80
10,320.80
11,320.80
12,320.80
13,320.80
14,320.80
15,320.80
16,320.80
17,320.80
18,320.80
19,320.80
20,320.80
21,320.80
22,320.80
23,320.80
24,320.80
25,320.80
26,320.80
27,320.80
28,320.80
29,320.80
30,320.80
31,320.80
32,320.80
33,320.80
34,320.80
35,320.80
36,320.80
37,320.80
38,320.80
39,320.80
40,320.80
41,320.80
42,320.80
43,320.80
44,320.80
45,320.80
46,320.80
47,320.80
48,320.80
49,320.80
50,320.80
51,320.80
52,320.80
53,320.80
54,320.80
55,320.80
56,320.80
57,320.80
58,320.80
59,320.80
60,320.80
61,315.54
62,310.45
63,305.52
64,300.75
65,296.12
66,291.64
67,287.28
68,283.06
69,278.96
70,274.97
71,271.10
72,267.33
73,263.67
74,260.11
75,256.64
76,253.26
77,249.97
78,246.77
79,243.65
80,240.60
81,237.63
82,234.73
83,231.90
84,229.14
85,226.45
86,223.81
87,221.24
88,218.73
89,216.27
90,213.87
91,211.52
92,209.22
93,206.97
94,204.77
95,202.61
96,200.50
97,198.43
98,196.41
99,194.42
100,192.48
101,190.57
102,188.71
103,186.87
104,185.08
105,183.31
106,181.58
107,179.89
108,178.22
109,176.59
110,174.98
111,173.41
112,171.86
113,170.34
114,168.84
115,167.37
116,165.93
117,164.51
118,163.12
119,161.75
120,160.40
121,159.07
122,157.77
123,156.49
124,155.23
125,153.98
126,152.76
127,151.56
128,150.38
129,149.21
130,148.06
131,146.93
132,145.82
133,144.72
134,143.64
135,142.58
136,141.53
137,140.50
138,139.48
139,138.47
140,137.49
141,136.51
142,135.55
143,134.60
144,133.67
145,132.74
146,131.84
147,130.94
148,130.05
149,129.18
150,128.32
