BveTs Vehicle Performance Table 2.01,,,,,
#,f,,,,
#,1,2,3,4,5
#,p1f,p2f,p3f,p4f,p5f
0,13494,35751,39633,42538,45443
1,13494,35751,39633,42538,45443
2,13494,35751,39633,42538,45443
3,13494,35751,39633,42538,45443
4,13494,35751,39633,42538,45443
5,13494,35751,39633,42538,45443
6,11245,35751,39633,42538,45443
7,9235.7,35751,39633,42538,45443
8,6614.4,35751,39633,42538,45443
9,4927.3,35751,39633,42538,45443
10,3786.3,35751,39633,42538,45443
11,2983.6,35751,39633,42538,45443
12,2400.3,35751,39633,42538,45443
13,1965,35751,39633,42538,45443
14,1632.7,35751,39633,42538,45443
15,1374,35751,39633,42538,45443
16,1169.3,35751,39633,42538,45443
17,1004.8,35751,39633,42538,45443
18,871,35751,39633,42538,45443
19,760.9,35751,39633,42538,45443
20,669.3,35751,39633,42538,45443
21,592.5,34403.4,39633,42538,45443
22,527.4,33165.9,39633,42538,45443
23,472,32025,39633,42538,45443
24,424.3,30969.4,39633,42538,45443
25,383.1,29989.7,39633,42538,45443
26,347.4,29077.5,39633,42538,45443
27,316.1,28226.1,39633,42538,45443
28,288.6,27429.2,39633,42538,45443
29,264.4,26681.5,39633,42538,45443
30,242.9,25978.6,39633,42538,45443
31,223.8,25316.4,39633,42538,45443
32,206.7,24495.4,39633,42538,45443
33,191.4,23184.4,39032.5,42166.2,45339
34,177.6,21979.7,37884.5,41448.6,45136.5
35,165.2,20869.8,36802.1,40763.4,44940.6
36,154,19844.9,35779.8,40108.5,44751.1
37,143.8,18896.4,34812.8,39481.5,44567.6
38,134.5,18016.8,33896.6,38880.7,44389.7
39,126.1,17199.4,33027.5,38304.3,44217.1
40,118.3,16438.3,32201.8,37750.7,44049.5
41,111.2,15728.6,31416.4,37218.5,43886.6
42,104.7,15065.4,30668.4,36706.4,43728.3
43,98.8,14444.9,29955.2,36213.1,43574.2
44,93.2,13863.4,29274.4,35737.5,43424.2
45,88.1,13317.5,28623.8,35278.7,43278
46,83.4,12804.4,28001.6,34835.7,43135.6
47,79.1,12321.5,27405.8,34407.5,42996.7
48,75,11866.5,26834.8,33993.5,42861.1
49,71.2,11437.1,26287.2,33592.9,42728.7
50,67.7,11031.4,25761.5,33204.9,42599.5
51,64.5,10647.8,25256.3,32829,42473.1
52,61.4,10284.5,24574,32207,42013.8
53,58.6,9940.2,23655.5,31255.1,41103.5
54,55.9,9613.6,22787.5,30348.3,40229.4
55,53.4,9303.4,21966.4,29483.8,39389.4
56,51,9008.5,21188.8,28658.9,38581.6
57,48.8,8728,20451.9,27871,37804.2
58,46.7,8460.8,19752.7,27117.9,37055.6
59,44.8,8206.2,19088.8,26397.5,36334.3
60,42.9,7963.3,18457.8,25707.9,35638.7
61,41.2,7731.5,17857.6,25047.3,34967.7
