BveTs Vehicle Performance Table 1.00,
#,F-Max
0,1
1,18687
2,37374
3,56060
4,74747
5,93433
6,93433
7,93433
8,93433
9,93433
10,93433
11,93433
12,93433
13,93433
14,93433
15,93433
16,93433
17,93433
18,93433
19,93433
20,93433
21,93433
22,93433
23,93433
24,93433
25,93433
26,93433
27,93433
28,93433
29,93433
30,93433
31,93433
32,93433
33,93433
34,93433
35,93433
36,93433
37,93433
38,93433
39,93433
40,93433
41,93433
42,93433
43,93433
44,93433
45,93433
46,93433
47,93433
48,93433
49,93433
50,93433
51,93433
52,93433
53,93433
54,93433
55,93433
56,93433
57,93433
58,93433
59,93433
60,93433
61,90395
62,87503
63,84747
64,82119
65,79612
66,77218
67,74930
68,72742
69,70649
70,68645
71,66725
72,64885
73,63119
74,61425
75,59798
76,58234
77,56732
78,55286
79,53896
80,52557
81,51267
82,50024
83,48826
84,47670
85,46555
86,45479
87,44440
88,43435
89,42465
90,41526
91,40619
92,39740
93,38890
94,38067
95,37270
96,36498
97,35749
98,35023
99,34319
100,33636
101,32974
102,32330
103,31706
104,31099
105,30509
106,29936
107,29379
108,28838
109,28311
110,27799
111,27300
112,26815
113,26342
114,25882
115,25434
116,24997
117,24572
118,24157
119,23753
120,23359
121,22974
122,22599
123,22233
124,21876
125,21527
126,21187
127,20855
128,20530
129,20213
130,19903
131,19601
132,19305
133,19016
134,18733
135,18456
136,18186
137,17921
138,17663
139,17409
140,17162
141,16919
142,16682
143,16449
144,16222
145,15999
146,15780
147,15566
148,15357
149,15151
150,14950
